,amenity,length,name,geometry,description
121,cafe,151.799,,POINT (4.8857446 52.3597769),
122,restaurant,595.333,San George,POINT (4.8796087 52.3629726),
123,cafe,502.485,Restaurant Stedelijk,POINT (4.8794436 52.3574939),
124,restaurant,473.35999999999996,Buffet van Odette,POINT (4.8889892 52.3622855),
125,restaurant,35.034,Rijks,POINT (4.8842926 52.3595984),
126,restaurant,576.097,Lavinia Good Food,POINT (4.8898054 52.3631654),
127,restaurant,662.2710000000001,Martinot,POINT (4.8806877 52.3555304),
128,restaurant,677.5210000000001,New York Steakhouse,POINT (4.8831308 52.364509),
129,restaurant,542.675,The Pantry,POINT (4.8849563 52.3634594),
130,restaurant,718.614,Izakaya,POINT (4.8875769 52.3545104),
131,cafe,634.0810000000001,Easy Internet Cafe,POINT (4.8837681 52.3640142),
132,cafe,643.662,Bakers & Roasters,POINT (4.889846 52.3573122),
133,restaurant,647.235,Siriphon,POINT (4.8898758 52.3575399),
134,cafe,632.032,Corner Bakery Amsterdam,POINT (4.8840259 52.3547327),
135,cafe,511.86499999999995,The Rookies,POINT (4.8852296 52.3629689),
136,restaurant,509.30499999999995,Sumo,POINT (4.8838817 52.3633312),
137,cafe,658.5120000000001,de Fles,POINT (4.892228 52.3623331),
138,cafe,354.039,brasserie zuiderbad,POINT (4.8860801 52.357493),
139,restaurant,368.975,Le Tambourin,POINT (4.881202 52.3582777),
140,restaurant,698.0810000000001,Yuan's Hot Pot,POINT (4.8905324 52.3569617),
141,restaurant,703.4670000000001,Padina Bar,POINT (4.893177 52.357783),
142,restaurant,546.04,The Pancake Club,POINT (4.8813295 52.3626071),
143,restaurant,700.4480000000001,Vegan Junk Food Bar,POINT (4.8916033 52.3572501),
144,restaurant,664.5290000000002,Kailash Parbat,POINT (4.8924555 52.3596549),
145,restaurant,724.9950000000001,The Beefsteak Club,POINT (4.8904706 52.3565873),
146,cafe,710.4760000000001,café De Tulp,POINT (4.8916761 52.3569168),
147,cafe,164.562,Kiosk Rembrandt Van Gogh,POINT (4.8831125 52.3592175),
148,restaurant,658.5120000000001,Tokyo Ramen,POINT (4.8920385 52.3624137),
149,restaurant,714.4090000000002,Eggs Benaddicted,POINT (4.8849343 52.3643939),
150,restaurant,511.86499999999995,Pier 62,POINT (4.8847851 52.3631098),
151,restaurant,694.4080000000002,Gandhi,POINT (4.8829781 52.3649437),
152,cafe,548.8349999999999,Chimney Cake Bakery & Café,POINT (4.879167 52.356934),
153,cafe,408.36800000000005,Blushing,POINT (4.8803835 52.3587949),
154,restaurant,743.492,Anjappar,POINT (4.8806009 52.3547972),
155,cafe,714.4090000000002,Eggs Benaddicted,POINT (4.884987 52.3643561),
156,restaurant,686.9070000000003,AN,POINT (4.8937415 52.3593592),
157,restaurant,694.4080000000002,,POINT (4.8840819 52.3644521),
158,restaurant,542.675,Hongdae Amsterdam,POINT (4.8848957 52.3638537),
159,restaurant,703.4670000000001,,POINT (4.8931742 52.35772),
160,restaurant,717.6999999999998,Joost,POINT (4.8780303 52.3625932),
161,restaurant,487.423,Grand Café Lido,POINT (4.8819472 52.3625269),
162,cafe,634.0810000000001,Get Down,POINT (4.8838071 52.3639818),
