,location,coordinate,,,,
748,"2, Plantagekade, Plantage, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 ZV, Nederland","(52.3691231, 4.9114719)",,,,
749,"1-1, Onbekendegracht, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 XN, Nederland","(52.3628054, 4.9049772)",,,,
750,"Roelof Hartstraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 VM, Nederland","(52.35224757835269, 4.885261743410869)",,,,
751,"Eerste Atjehstraat, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1094 KP, Nederland","(52.36273035, 4.933031081673022)",,,,
752,"172-1, Kanaalstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 XR, Nederland","(52.3612255, 4.8590879)",,,,
753,"Puck van Duyne Brouwerbrug, Kolenkitbuurt, West, Amsterdam, Noord-Holland, Nederland, 1061 MG, Nederland","(52.3742235, 4.839090527157211)",,,,
754,"2, Eerste Jan Steenstraat, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 NK, Nederland","(52.3534479, 4.8873477)",,,,
755,"15, Veenbesstraat, De Bongerd, Noord, Amsterdam, Noord-Holland, Nederland, 1036 LP, Nederland","(52.405734, 4.9022323)",,,,
756,"Durmaz, Javastraat, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1094 HH, Nederland","(52.3638093, 4.9335288)",,,,
757,"35, Lizzy Ansinghstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 RC, Nederland","(52.3499013, 4.8925087)",,,,
758,"9, Pontanusstraat, Dapperbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1093 RW, Nederland","(52.3655347, 4.9268237)",,,,
759,"44B, Korte Prinsengracht, Haarlemmerbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 GT, Nederland","(52.38109, 4.8884902)",,,,
760,"347-1, Bos en Lommerweg, Landlust, West, Amsterdam, Noord-Holland, Nederland, 1055 EA, Nederland","(52.3780254, 4.8475501)",,,,
761,"490, Funenpark, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 AK, Nederland","(52.3682447, 4.9303342)",,,,
762,"33, Valutaboulevard, De Aker, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1060 RX, Nederland","(52.3483348, 4.7887503)",,,,
763,"198-H, Vrolikstraat, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1092 TS, Nederland","(52.357184, 4.9219343)",,,,
764,"117-1, De Clercqstraat, Kinkerbuurt, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 AJ, Nederland","(52.3698481, 4.8659306)",,,,
765,"4-1, Hertspieghelweg, Landlust, West, Amsterdam, Noord-Holland, Nederland, 1055 KL, Nederland","(52.3800789, 4.8524452)",,,,
766,"20-2, Nicolaas Maesstraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 RA, Nederland","(52.3557653, 4.8848558)",,,,
767,"97-H, Amstel, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 EL, Nederland","(52.3632576, 4.9034315)",,,,
768,"2A, Soembawastraat, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1095 VW, Nederland","(52.3650935, 4.9442077)",,,,
769,"Brede School De Spaarndammerhout, 1B, Revaleiland, West, Amsterdam, Noord-Holland, Nederland, 1014 ZG, Nederland","(52.392685900000004, 4.878463786826636)",,,,
770,"119A, Albert Cuypstraat, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 CR, Nederland","(52.3554088, 4.8919935)",,,,
771,"IJplein, Noord, Amsterdam, Noord-Holland, Nederland, 1021 LK, Nederland","(52.38183455, 4.91140885)",,,,
772,"Mauritskade, Oost, Amsterdam, Noord-Holland, Nederland, 1092 AD, Nederland","(52.361913205860056, 4.91747189557588)",,,,
773,"70, Zaanstraat, Spaarndammerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 RW, Nederland","(52.3879683, 4.8783759)",,,,
774,"239, Wittenburgergracht, Wittenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 ZK, Nederland","(52.3695526, 4.9200424)",,,,
775,"Buiksloterweg, Noord, Amsterdam, Noord-Holland, Nederland, 1034 ZD, Nederland","(52.399001017436206, 4.920162153931768)",,,,
776,"Willibrordusplein, Sint Willibrordusstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 XH, Nederland","(52.355255299999996, 4.903846007862443)",,,,
777,"30-H, Hillegomstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1058 LT, Nederland","(52.3522731, 4.8469385)",,,,
778,"Zuiderzeeweg, Noord, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1024 ME, Nederland","(52.38711054112501, 4.955494072847623)",,,,
779,"9-1, Blauwburgwal, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 AS, Nederland","(52.376461, 4.8905395)",,,,
780,"54G, Herengracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 BN, Nederland","(52.37762705, 4.890427401798901)",,,,
781,"11, Pennyhof, De Aker, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1060 SM, Nederland","(52.3472639, 4.7884858)",,,,
782,"45, Van Hogendorpstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 BH, Nederland","(52.3843195, 4.876527)",,,,
783,"371-H, Hoofdweg, Van Galenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1056 CR, Nederland","(52.3716692, 4.8491539)",,,,
784,"229-2, Eerste Helmersstraat, Kinkerbuurt, Helmersbuurt, West, Amsterdam, Noord-Holland, Nederland, 1054 DW, Nederland","(52.3611045, 4.8662682)",,,,
785,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
786,"Rustenburgerstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 HX, Nederland","(52.35266995, 4.901237218183745)",,,,
787,"229-1, Bestevâerstraat, Landlust, West, Amsterdam, Noord-Holland, Nederland, 1055 TM, Nederland","(52.3798299, 4.8570305)",,,,
788,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
789,"28, Dirk Hartoghstraat, Zeeheldenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 PH, Nederland","(52.3895398, 4.8865887)",,,,
790,"47, U.J. Klarenstraat, Westlandgracht, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1066 XK, Nederland","(52.3503612, 4.8312892)",,,,
791,"Surinamekade, KNSM-eiland, Oostelijk Havengebied, Oost, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1019 LJ, Nederland","(52.37771383173916, 4.94525314992323)",,,,
792,"49-1, Van Oldenbarneveldtstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 JT, Nederland","(52.3755313, 4.8748512)",,,,
793,"Binnen Dommersstraat, Haarlemmerbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 HJ, Nederland","(52.38213295, 4.888079352366615)",,,,
794,"Javaplantsoen, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1095 DS, Nederland","(52.36315223562845, 4.944829028918377)",,,,
795,"42, Tweede Kostverlorenkade, Kinkerbuurt, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 TP, Nederland","(52.3676736, 4.864018)",,,,
796,"278, Oudezijds Voorburgwal, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 GL, Nederland","(52.3711304, 4.894652)",,,,
797,"76, Borgerstraat, Borgerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 PV, Nederland","(52.3653317, 4.866938)",,,,
798,"134C, Derde Oosterparkstraat, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1092 EB, Nederland","(52.3569663, 4.9191327)",,,,
799,"31, Hensbroekerstraat, Tuindorp Nieuwendam, Noord, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1023 AM, Nederland","(52.3929956, 4.9442414)",,,,
800,"8, Bongerdkade, Noord, Amsterdam, Noord-Holland, Nederland, 1036 LZ, Nederland","(52.4046853, 4.903129735929886)",,,,
801,"Albert Heijn, 87, Jan van Galenstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056 BJ, Nederland","(52.3747276, 4.8607837)",,,,
802,"Raampoort, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 EB, Nederland","(52.374081849999996, 4.875502269221121)",,,,
803,"1044, Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 EG, Nederland","(52.354275799999996, 4.9081412500000035)",,,,
804,"44Z, Oudeschans, Nieuwmarktbuurt, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 LC, Nederland","(52.371082349999995, 4.9036477422093645)",,,,
805,"76, Middenweg, Watergraafsmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1097 BS, Nederland","(52.3505931, 4.9351098)",,,,
806,"2-H, Olmenweg, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1091 KP, Nederland","(52.354683, 4.9146216)",,,,
807,"85, Johannes J. Glasweg, Kadoelen, Noord, Amsterdam, Noord-Holland, Nederland, 1035 ST, Nederland","(52.421882, 4.9029522)",,,,
808,"2, Reggestraat, IJselbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 CZ, Nederland","(52.3483839, 4.9015088)",,,,
809,"56-1, Deurloostraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 JE, Nederland","(52.3464874, 4.8906548)",,,,
810,"633, Sumatrakade, Java-eiland, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Nederland, 1019 PT, Nederland","(52.3786728, 4.9309611)",,,,
811,"62-1, Scheldestraat, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 GM, Nederland","(52.3458584, 4.8907058)",,,,
812,"Achillesstraat, Stadionbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 BM, Nederland","(52.344257049999996, 4.864192871716042)",,,,
813,"128, Diamantstraat, Diamantbuurt, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 GG, Nederland","(52.3510718, 4.906044)",,,,
814,"Marnixstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 XK, Nederland","(52.38136915, 4.880563555902402)",,,,
815,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
816,"Willem Beukelsstraat, Frankendael, Oost, Amsterdam, Noord-Holland, Nederland, 1097 CA, Nederland","(52.35319365, 4.9249536514593855)",,,,
817,"30, Slichtenhorststraat, Holendrecht, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1107 VH, Nederland","(52.2912262, 4.9736618)",,,,
818,"399, Nova Zemblastraat, Spaarndammerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 RJ, Nederland","(52.3902455, 4.8814387)",,,,
819,"4, Antonie Heinsiusstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 EP, Nederland","(52.3805596, 4.8758065)",,,,
820,"80-1, Hobbemakade, Duivelseiland, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 XN, Nederland","(52.3529119, 4.8859887)",,,,
821,"65, Lisdoddelaan, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 KB, Nederland","(52.3528963, 4.9936216)",,,,
822,"Jacob Catskade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 DD, Nederland","(52.38100675, 4.8737689)",,,,
823,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
824,"15, Jan Vrijmanstraat, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 MB, Nederland","(52.3512197, 5.0003146)",,,,
825,"Kattenburgerbrug, Prins Hendrikkade, Kadijken, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 AA, Nederland","(52.37091915, 4.91444510229762)",,,,
826,"Vechtstraat, Rijnbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1079 JR, Nederland","(52.34191215, 4.908458360504255)",,,,
827,"11, Reigerweg, Vogelbuurt, Noord, Amsterdam, Noord-Holland, Nederland, 1021 HC, Nederland","(52.3847032, 4.9129098)",,,,
828,"98-1, Stadionweg, Apollobuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1077 SR, Nederland","(52.3470596, 4.8772639)",,,,
829,"30, Kortenaerstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1057 JN, Nederland","(52.3693827, 4.8623239)",,,,
830,"124A, Marnixstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 WV, Nederland","(52.3763067, 4.8775151)",,,,
831,"Eva Besnyöstraat, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 LM, Nederland","(52.3495174, 5.0081819)",,,,
832,"95, Nieuwe Herengracht, Valkenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 RX, Nederland","(52.3678568, 4.9072568)",,,,
833,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
834,"19-H, Bestevâerstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056 HE, Nederland","(52.3731653, 4.8599582)",,,,
835,"25-1, Galileïplantsoen, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 LV, Nederland","(52.3532807, 4.9375337)",,,,
836,"373, Amerbos, Buikslotermeer, Noord, Amsterdam, Noord-Holland, Nederland, 1025 ZH, Nederland","(52.4040765, 4.9416178)",,,,
837,"43, Leeuwenwerf, Kattenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 JX, Nederland","(52.3732081, 4.9216779)",,,,
838,"4, Gebed Zonder End, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 HS, Nederland","(52.3696612, 4.8936404)",,,,
839,"Buiksloterweg, Noord, Amsterdam, Noord-Holland, Nederland, 1031 CK, Nederland","(52.384394400000005, 4.907463791710272)",,,,
840,"41-1, Van Boetzelaerstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 CZ, Nederland","(52.3822433, 4.8723649)",,,,
841,"45-H, Leimuidenstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1059 EG, Nederland","(52.3495756, 4.850685)",,,,
842,"60D, Anjeliersstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 NH, Nederland","(52.3779787, 4.8838697)",,,,
843,"15, Zwanebloemlaan, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 CD, Nederland","(52.3563473, 4.9908607)",,,,
844,"34, Oeverzeggestraat, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 BV, Nederland","(52.3569295, 4.9875674)",,,,
845,"7-1, Moerdijkstraat, Rijnbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1079 XJ, Nederland","(52.3425588, 4.9012643)",,,,
846,"52A, Hoogte Kadijk, Kadijken, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 BN, Nederland","(52.369762, 4.9139172)",,,,
847,"286, Amstel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 AN, Nederland","(52.36242365, 4.902385850000001)",,,,
848,"91-1, Goudsbloemstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 JK, Nederland","(52.3806777, 4.8844999)",,,,
849,"Holendrechtstraat, IJselbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 AA, Nederland","(52.3487167, 4.909586498502462)",,,,
850,"109, Mattenbiesstraat, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1087 GC, Nederland","(52.3538603, 4.9943322)",,,,
851,"13, Servaes Noutsstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 ED, Nederland","(52.3554424, 4.904427)",,,,
852,"13615, Domselaerstraat, Dapperbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1093 JL, Nederland","(52.3602651, 4.9292116)",,,,
853,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
854,"68-H, Valeriusstraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 ML, Nederland","(52.3545504, 4.8698678)",,,,
855,"61, Grote Wittenburgerstraat, Wittenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 KX, Nederland","(52.3716431, 4.9214007)",,,,
856,"70, Brigantijnkade, Steigereiland-Noord, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1086 VB, Nederland","(52.3635282, 4.9854525)",,,,
857,"64-1, Bilderdijkkade, Kinkerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 VN, Nederland","(52.3669997, 4.8702073)",,,,
858,"331, Houtrijkstraat, Spaarndammerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 VB, Nederland","(52.3908293, 4.8771424)",,,,
859,"66, Binnengasthuisstraat, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 ZE, Nederland","(52.3685587, 4.8943575)",,,,
860,"3, Van Reenenstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 JA, Nederland","(52.3791913, 4.8711667)",,,,
861,"510L, Prins Hendrikkade, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 TE, Nederland","(52.37487945, 4.905393346227205)",,,,
862,"57-1, Meeuwenlaan, Vogelbuurt, Noord, Amsterdam, Noord-Holland, Nederland, 1021 HT, Nederland","(52.3834073, 4.9144031)",,,,
863,"638, Amstelvlietstraat, Oost, Amsterdam, Noord-Holland, Nederland, 1096 GG, Nederland","(52.3392911, 4.9178526)",,,,
864,"126, Nova Zemblastraat, Spaarndammerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 RP, Nederland","(52.3903961, 4.8828473)",,,,
865,"170E, Nieuwe Leliestraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 HE, Nederland","(52.3748094, 4.8783546)",,,,
866,"Roelof Hartstraat, Duivelseiland, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 VG, Nederland","(52.3528615, 4.8856634787424955)",,,,
867,"P. Hans Frankfurthersingel, De Aker, Nieuw-West, Sloten, Amsterdam, Noord-Holland, Nederland, 1060 TP, Nederland","(52.3459544, 4.7949307)",,,,
868,"Kilimanjaro, 22A, Beukenweg, Oosterparkbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1091 KE, Nederland","(52.3565251, 4.9183469)",,,,
869,"Overtoom, Kinkerbuurt, Overtoomse Sluis, West, Amsterdam, Noord-Holland, Nederland, 1054 KH, Nederland","(52.35877286206156, 4.859656300507379)",,,,
870,"39, Lootsstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 NV, Nederland","(52.363062, 4.8617968)",,,,
871,"20-1, Kuipersstraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 EL, Nederland","(52.3543391, 4.9050104)",,,,
872,"224, Baarsjesweg, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1058 AA, Nederland","(52.36347125, 4.858174824263773)",,,,
873,"50-1, Overtoom, Kinkerbuurt, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 HK, Nederland","(52.3632934, 4.8765896)",,,,
874,"138D, Orteliusstraat, Hoofdweg, West, Amsterdam, Noord-Holland, Nederland, 1057 BH, Nederland","(52.3682681, 4.850253)",,,,
875,"393-1, Lijnbaansgracht, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 XC, Nederland","(52.3599456, 4.8958184)",,,,
876,"31-3, Lutmastraat, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 JM, Nederland","(52.350634, 4.8934852)",,,,
877,"Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 EN, Nederland","(52.351192850000004, 4.912286288503964)",,,,
878,"158F, Da Costakade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 XC, Nederland","(52.3680288, 4.8726566)",,,,
879,"19A, Plantage Parklaan, Plantage, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 ST, Nederland","(52.367877, 4.9100463)",,,,
880,"136, Beethovenstraat, Apollobuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1077 JS, Nederland","(52.3458246, 4.8764269)",,,,
881,"45-2, Lomanstraat, Willemsparkbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1075 PV, Nederland","(52.3511906, 4.8600879)",,,,
882,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
883,"57, Hobbemakade, Duivelseiland, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 XL, Nederland","(52.354423, 4.8862652)",,,,
884,"Berkelstraat, IJselbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 CV, Nederland","(52.34801785, 4.903993043346507)",,,,
885,"IJscuypje, 102, Mercatorplein, West, Amsterdam, Noord-Holland, Nederland, 1057 KG, Nederland","(52.369863, 4.8506183)",,,,
886,"Jan de Louterpad, Slotermeer, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1063 ME, Nederland","(52.37919349941445, 4.815524266461916)",,,,
887,"Marnixstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 XX, Nederland","(52.3684658, 4.8779429)",,,,
888,"Tugelaweg, Transvaalbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1092 VK, Nederland","(52.3555844, 4.921294154989113)",,,,
889,"18-1, Egidiusstraat, Erasmuspark, West, Amsterdam, Noord-Holland, Nederland, 1055 GT, Nederland","(52.3784516, 4.8523326)",,,,
890,"IJscuypje / Stamppotje, 27, Eerste Van der Helststraat, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 AC, Nederland","(52.3558663, 4.8930524)",,,,
891,"90-3, Van Boetzelaerstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 EC, Nederland","(52.3822479, 4.8713514)",,,,
892,"23H, Bilderdijkstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1052 NA, Nederland","(52.3717311, 4.8710919)",,,,
893,"8-1, Bronckhorststraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 WR, Nederland","(52.3531977, 4.8813326)",,,,
894,"342, Da Costakade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 XE, Nederland","(52.36845565, 4.8727968846321605)",,,,
895,"Ternatestraat, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1095 RZ, Nederland","(52.365521, 4.942967216981132)",,,,
896,"109, Polanenstraat, Spaarndammerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1013 VV, Nederland","(52.3899028, 4.8769766)",,,,
897,"Middenweg, Watergraafsmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 AS, Nederland","(52.34946965, 4.936402157542748)",,,,
898,"Gein, Zuidoost, Driemond, Amsterdam, Noord-Holland, Nederland, 1106 ZM, Nederland","(52.3004933, 4.9962416)",,,,
899,"174A, Brouwersgracht, Haarlemmerbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 HB, Nederland","(52.3811057, 4.8879613)",,,,
900,"Planciusstraat, Planciusbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 MJ, Nederland","(52.3857906, 4.883575534921325)",,,,
901,"21, Prinses Marijkestraat, Prinses Irenebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1077 XB, Nederland","(52.3427041, 4.8718697)",,,,
902,"21, Prinses Marijkestraat, Prinses Irenebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1077 XB, Nederland","(52.3427041, 4.8718697)",,,,
903,"Postjeskade, Westindische Buurt, West, Amsterdam, Noord-Holland, Nederland, 1058 DV, Nederland","(52.360247, 4.849838225122561)",,,,
904,"544, Jacob van Lennepkade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 MX, Nederland","(52.364189999999994, 4.868129899999985)",,,,
905,"2-1, Mesdagstraat, Diamantbuurt, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 HL, Nederland","(52.3504435, 4.8953365)",,,,
906,"12-4, Van Oldenbarneveldtstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 KA, Nederland","(52.3770501, 4.8753517)",,,,
907,"Nieuwe Leeuwarderweg, Noord, Amsterdam, Noord-Holland, Nederland, 1022 BN, Nederland","(52.393159001721386, 4.9232396003180146)",,,,
908,"Nassaukade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 LT, Nederland","(52.37047509682017, 4.874652027228331)",,,,
909,"42-1, Derde Hugo de Grootstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 LM, Nederland","(52.3739719, 4.8717414)",,,,
910,"81-1, Houtmankade, Planciusbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 MS, Nederland","(52.3874458, 4.8845848)",,,,
911,"College De Meer, 2, Lavoisierstraat, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 TH, Nederland","(52.35184315, 4.9426100723844275)",,,,
912,"Wim van Estlaan, Kolenkitbuurt, West, Amsterdam, Noord-Holland, Nederland, 1061 MK, Nederland","(52.37634315, 4.8365728218452215)",,,,
913,"101A, Weesperstraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 VN, Nederland","(52.3641012, 4.9065968)",,,,
914,"7-H, Corantijnstraat, Westindische Buurt, West, Amsterdam, Noord-Holland, Nederland, 1058 DA, Nederland","(52.3616905, 4.8526233)",,,,
915,"1-1, Derde Kostverlorenkade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 TN, Nederland","(52.3612554, 4.8577516)",,,,
916,"69, Westerdok, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 AZ, Nederland","(52.38630885, 4.8913776936079545)",,,,
917,"Pesthuysbrug, Bilderdijkstraat, Van Lennepbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 LC, Nederland","(52.3655519, 4.8733445464508875)",,,,
918,"Navigatiepad, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1086 XR, Nederland","(52.362386881288046, 4.975244681768558)",,,,
919,"19, Nieuwendammerdijk, Tuindorp Buiksloot, Noord, Amsterdam, Noord-Holland, Nederland, 1025 LC, Nederland","(52.3911097, 4.925809)",,,,
