,location,coordinate,,,,
39,"Karel du Jardinstraat, Diamantbuurt, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 TD, Nederland","(52.35150725, 4.896237889350465)",,,,
40,"22, Pieter Jacobszstraat, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 HL, Nederland","(52.371705, 4.8944841)",,,,
41,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
42,"150-2, Tweede Kostverlorenkade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 SH, Nederland","(52.3625722, 4.8587636)",,,,
43,"380-382, Herengracht, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 CH, Nederland","(52.368088650000004, 4.885955989675368)",,,,
44,"186-2, Da Costakade, Van Lennepbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 XE, Nederland","(52.3670587, 4.8734368)",,,,
45,"7, Anne Frankstraat, Valkenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 TK, Nederland","(52.3694574, 4.9096769)",,,,
46,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
47,"Wielingenstraat, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 KB, Nederland","(52.3442342, 4.8870512)",,,,
48,"5B, Reyer Anslostraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 KT, Nederland","(52.3585974, 4.8602789)",,,,
49,"112, Jacob Marisstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1058 JB, Nederland","(52.3569896, 4.8524886)",,,,
50,"299-H, Admiraal De Ruijterweg, Landlust, West, Amsterdam, Noord-Holland, Nederland, 1055 LW, Nederland","(52.3798055, 4.8557086)",,,,
51,"28-H, Kerkstraat, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 GL, Nederland","(52.3658123, 4.8845656)",,,,
52,"80-H, De Lairessestraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 PH, Nederland","(52.3541337, 4.8732193)",,,,
53,"8, Oudezijds Voorburgwal, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 GD, Nederland","(52.3756551, 4.8999325)",,,,
54,"8, Oudezijds Voorburgwal, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 GD, Nederland","(52.3756551, 4.8999325)",,,,
55,"1072, Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 EL, Nederland","(52.3516886, 4.910940116487496)",,,,
56,"de Wallen, Zeedijk, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 AR, Nederland","(52.3734085, 4.898273144727436)",,,,
57,"Koninklijk Instituut voor de Tropen, Mauritskade, Oost, Amsterdam, Noord-Holland, Nederland, 1018 CK, Nederland","(52.362542149999996, 4.922242679396797)",,,,
58,"2, Westeinde, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 ZN, Nederland","(52.3592465, 4.8984586)",,,,
59,"33, Van Diemenkade, West, Amsterdam, Noord-Holland, Nederland, 1013 CR, Nederland","(52.3913782, 4.887495197026633)",,,,
60,"59A, Den Texstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 XZ, Nederland","(52.3588529, 4.8960315)",,,,
61,"13, Huidekoperstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 ZL, Nederland","(52.3598019, 4.8975504)",,,,
62,"148A-H, Lijnbaansgracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 VW, Nederland","(52.3710293, 4.8770917)",,,,
63,"83-H, Tweede Jan Steenstraat, Oude Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 CM, Nederland","(52.3566727, 4.9018877)",,,,
64,"Gerard Doustraat, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 VT, Nederland","(52.3563368, 4.893636209158452)",,,,
65,"11-H, Derde Kostverlorenkade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 TN, Nederland","(52.3605621, 4.8574663)",,,,
66,"38-1, Ruyschstraat, Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 CD, Nederland","(52.3571245, 4.9092518)",,,,
67,"De Ebeling, 52, Overtoom, Kinkerbuurt, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 HK, Nederland","(52.3632884, 4.8765635)",,,,
68,"8F, 's-Gravelandse Veer, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 KN, Nederland","(52.367610299999996, 4.896870445890405)",,,,
69,"Frans Hendriksz Oetgensbrug, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 AN, Nederland","(52.36267085, 4.902038190574037)",,,,
70,"5E, Eerste Helmersstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 CX, Nederland","(52.3640766, 4.8780079)",,,,
71,"48, Amsteldijk, Nieuwe Pijp, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1074 HW, Nederland","(52.354505, 4.9060361)",,,,
72,"20-1, Piet Gijzenbrugstraat, Hoofddorperpleinbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1059 XJ, Nederland","(52.3504383, 4.846726)",,,,
73,"Entrepothof, Oostelijk Havengebied, Oost, Amsterdam, Noord-Holland, Nederland, 1019 DH, Nederland","(52.3690922, 4.9352318)",,,,
74,"115, Zeeburgerdijk, Indische Buurt, Oost, Amsterdam, Noord-Holland, Nederland, 1094 AD, Nederland","(52.3663348, 4.9385613)",,,,
75,"299-1, Lijnbaansgracht, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 RN, Nederland","(52.3611724, 4.8882883)",,,,
76,"78B, IJsbaanpad, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 CW, Nederland","(52.34164135, 4.848980949999999)",,,,
77,"27, Panamakade, Sporenburg, Oostelijk Havengebied, Oost, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1019 AX, Nederland","(52.37272585, 4.9431025527777805)",,,,
78,"193-1, Admiralengracht, Hoofdweg, West, Amsterdam, Noord-Holland, Nederland, 1057 EV, Nederland","(52.3699676, 4.8564142)",,,,
79,"Huis De Pinto, 69, Sint Antoniesbreestraat, Nieuwmarktbuurt, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 HB, Nederland","(52.370111, 4.900920222091413)",,,,
